"libido","quando","note"
"1","12/21/25 04:46:57",""
"1","12/6/25 16:11:21",""
"1","11/28/25 21:57:36",""
"1","11/7/25 01:04:59",""
"1","10/10/25 14:57:12",""
"1","10/6/25 16:24:10",""
"1","10/4/25 04:21:27",""
"2","9/30/25 23:35:12",""
"1","9/25/25 21:25:48",""
"1","9/23/25 19:46:28",""
"5","9/20/25 15:09:03",""
"1","9/20/25 14:26:20",""
"4","9/20/25 01:05:56",""
"1","9/19/25 21:34:19",""
"1","9/16/25 23:30:41",""
"5","9/16/25 01:08:31",""
"3","9/15/25 23:44:10",""
"1","9/15/25 23:08:14",""
"2","9/15/25 19:56:00",""
"1","9/12/25 19:31:51",""
"1","9/6/25 17:09:50",""
"1","9/5/25 03:05:38","La macch"
"3","9/1/25 17:03:01",""
"1","8/26/25 10:38:24",""
"1","8/26/25 06:15:15",""
"1","8/23/25 15:41:49",""
"1","8/23/25 11:25:43",""
"2","8/23/25 04:18:42",""
"1","8/19/25 22:06:51",""
"1","8/19/25 14:34:22",""
"3","8/13/25 09:51:16",""
"1","8/12/25 21:52:24",""
"1","8/7/25 19:18:45",""
"1","8/5/25 15:50:40",""
"1","8/5/25 08:35:21",""
"3","8/5/25 02:41:49",""
"2","8/4/25 22:55:53",""
"5","8/4/25 10:43:09",""
"1","8/1/25 16:28:50",""
"3","8/1/25 05:02:51",""
"3","8/1/25 00:41:54",""
"1","7/31/25 23:35:56",""
"5","7/31/25 16:04:13",""
"1","7/31/25 13:31:31",""
"2","7/30/25 21:34:47",""
"5","7/27/25 18:52:02",""
"4","7/27/25 10:26:17",""
"2","7/27/25 02:11:00",""
"3","7/27/25 00:20:03",""
"1","7/24/25 19:45:01",""
"1","7/22/25 20:48:10",""
"1","7/22/25 13:19:40",""
"1","7/22/25 11:07:23",""
"1","7/22/25 09:24:01",""
"1","7/20/25 17:29:56",""
"1","7/20/25 05:18:30",""
"2","7/20/25 02:17:43",""
"1","7/16/25 23:24:59",""
"1","7/16/25 21:21:27",""
"2","7/13/25 18:22:59",""
"1","7/13/25 16:59:52",""
