"sfida","durata","quando","vinta","tentativi","difficoltà"
"No gloss","1800000","10/10/25 21:23:09","false",,"0"
"Glossolalia","1800000","10/4/25 04:04:22","true",,"5"
"No check messaggi a vuoto","1800000","9/27/25 08:09:53","false",,"5"
"No check messaggi a vuoto","1800000","9/27/25 08:06:51","false",,"0"
"No gloss","1800000","9/27/25 00:40:55","true",,"0"
"No check messaggi a vuoto","1800000","9/5/25 21:32:21","false",,"0"
"Check telefono solo se notifiche","1800000","9/5/25 20:36:16","false",,"0"
"Check telefono solo se notifiche","1800000","9/1/25 20:23:19","false",,"0"
"Check telefono solo se notifiche","1800000","9/1/25 18:48:25","false",,"0"
"Check telefono solo se notifiche","1800000","8/23/25 16:07:02","false",,"0"
"Check telefono solo se notifiche","1800000","8/5/25 07:27:13","false","3","0"
"No gloss","79200000","8/5/25 02:30:56","false",,"5"
"No gloss","10800000","7/30/25 20:55:59","false",,"5"
"Glossolalia","43200000","7/27/25 16:19:05","false",,"5"
"","14400000","7/25/25 17:18:49","false",,"5"
"No gloss","1800000","7/25/25 16:32:39","true",,"0"
"Check telefono solo se notifiche",,"7/20/25 19:03:45","false",,"0"
"Check telefono solo se notifiche","1800000","7/20/25 15:00:11","true","2","3"
"Glossolalia",,"7/20/25 15:00:03","true",,"5"
"Glossolalia","1800000","7/20/25 12:41:12","true",,"5"
"Glossolalia",,"7/20/25 10:34:50","true",,"0"
"Glossolalia","1800000","7/20/25 09:48:45","true","2","0"
"No check messaggi a vuoto","1800000","7/7/25 01:53:34","false",,"0"
"No check messaggi a vuoto","1800000","4/28/25 02:39:30","false",,"0"
"No check messaggi a vuoto","1800000","1/3/25 19:50:00","false",,"0"
"No gloss","1800000","12/17/24 07:32:20","true","1","0"
"Check telefono solo se notifiche","1500000","10/21/24 14:01:10","false","3","0"
"Glossolalia","1800000","7/23/24 10:57:06","false",,"0"
"Glossolalia","1500000","7/23/24 10:56:31","false",,"0"
"Glossolalia","1200000","7/23/24 06:17:08","false",,"0"
"Glossolalia","900000","7/23/24 06:01:47","false",,"0"
"Check telefono solo se notifiche","1800000","6/9/24 18:51:33","false",,"0"
