"quantità","quando","con bustina","busta"
"0.487","11/30/25 05:18:03","true",
"0.623","11/28/25 21:51:03","true",
"0.0","7/25/25 17:11:09","false",
"0.666","7/20/25 13:09:06","true",
"1700.0","11/20/24 23:06:57","true",
"0.617","11/12/24 14:43:45","true",
"0.468","11/8/24 14:46:48","true",
"0.65","11/8/24 11:14:39","true",
"0.296","10/21/24 18:46:12","false",
"0.441","10/21/24 11:02:51","true",
"0.59","9/15/24 14:37:21","true",
"1.0","9/12/24 20:47:39","true",
"0.224","8/16/24 10:47:10","false",
"0.399","8/15/24 15:41:26","false","1"
"0.495","8/15/24 09:52:19","false","2"
"0.494","8/15/24 09:52:09","false","1"
"0.871","8/1/24 20:48:05","false",
"0.126","8/1/24 20:47:45","false",
"0.44","7/30/24 06:44:14","true",
"1.12","7/29/24 16:26:03","true",
"1.286","7/29/24 15:48:46","true",
"0.476","7/22/24 10:11:57","false",
"0.162","7/19/24 08:30:09","false",
"0.263","7/19/24 07:04:06","false",
"0.524","7/16/24 16:56:33","false",
"0.874","7/16/24 16:04:21","true",
"0.955","7/12/24 15:48:14","true",
"1.077","7/11/24 11:29:36","true",
"0.552","7/4/24 23:05:17","true",
"0.597","7/4/24 01:44:32","true",
"0.653","7/4/24 01:41:52","true",
"0.0","6/19/24 23:08:11","false",
"0.327","6/18/24 18:01:04","false",
"0.53","6/18/24 05:47:24","true",
"0.661","6/17/24 22:06:11","true",
"0.0","6/10/24 17:28:24","false",
"0.982","6/10/24 16:09:03","true",
"1.094","6/10/24 14:08:48","true",
"0.207","6/10/24 13:54:01","false",
"1.134","6/10/24 13:44:36","true",
"1.476","6/9/24 18:38:02","true",
"1.548","6/9/24 10:02:42","true",
"1.824","6/8/24 17:15:54","true",
